,I2HospitalRate_range,E2Irate_range,I2Rrate_range,delay_from_hospital_to_I_range,Beta_coeff_summer_range,winter_coeff_range,Beta_coeff_manual_setting_range,indFirstValidRow_range,indFirstAvailData_range,indLastAvailData_range,indLastValidRow_range,lower___for_sample_weights_range,upper___for_sample_weights_range,N0_range,S0_range,x0_range,n0_range,epsil_range
56,0.07,0.16666666666666666,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,30
57,0.07,0.16666666666666666,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,40
58,0.07,0.16666666666666666,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,30
59,0.07,0.16666666666666666,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,40
60,0.07,0.16666666666666666,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,30
61,0.07,0.16666666666666666,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,40
62,0.07,0.16666666666666666,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,30
63,0.07,0.16666666666666666,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,40
64,0.07,0.16666666666666666,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,30
65,0.07,0.16666666666666666,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,40
66,0.07,0.16666666666666666,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,30
67,0.07,0.16666666666666666,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,40
68,0.07,0.16666666666666666,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,30
69,0.07,0.16666666666666666,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,40
70,0.07,0.16666666666666666,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,30
71,0.07,0.16666666666666666,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,40
72,0.07,0.14285714285714285,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,30
73,0.07,0.14285714285714285,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,40
74,0.07,0.14285714285714285,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,30
75,0.07,0.14285714285714285,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,40
76,0.07,0.14285714285714285,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,30
77,0.07,0.14285714285714285,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,40
78,0.07,0.14285714285714285,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,30
79,0.07,0.14285714285714285,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,40
80,0.07,0.14285714285714285,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,30
81,0.07,0.14285714285714285,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,40
82,0.07,0.14285714285714285,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,30
83,0.07,0.14285714285714285,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,40
84,0.07,0.14285714285714285,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,30
85,0.07,0.14285714285714285,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,40
